undefinedin,victory_percentage,loose_percentage,split_percentage
2c2d,Qc3d,53,46,1
2c2d,Qc3h,53,46,1
2c2d,Qc3c,51,48,1
2c2d,Qc2s,66,32,2
2c2d,Qc2h,66,32,2
2c2d,QhQc,18,82,0
2c2d,QhQd,18,81,1
2c2d,QhQs,19,81,0
2c2d,QhJc,49,50,1
2c2d,QhJh,47,52,1
2c2d,QhJd,49,50,1
2c2d,QhJs,50,49,1
2c2d,QhTc,48,50,2
2c2d,QhTh,46,53,1
2c2d,QhTd,49,50,1
2c2d,QhTs,49,50,1
2c2d,Qh9s,51,48,1
2c2d,Qh9c,50,49,1
2c2d,Qh9h,47,52,1
2c2d,Qh9d,50,49,1
2c2d,Qh8s,51,48,1
2c2d,Qh8d,51,48,1
2c2d,Qh8h,49,50,1
2c2d,Qh8c,51,48,1
2c2d,Qh7s,52,47,1
2c2d,Qh7d,52,47,1
2c2d,Qh7h,49,49,2
2c2d,Qh7c,52,47,1
2c2d,Qh6s,52,47,1
2c2d,Qh6d,51,47,2
2c2d,Qh6h,49,50,1
2c2d,Qh6c,52,47,1
2c2d,Qh5s,52,46,2
2c2d,Qh5d,52,46,2
2c2d,Qh5h,49,49,2
2c2d,Qh5c,52,46,2
2c2d,Qh4s,53,46,1
2c2d,Qh4d,52,46,2
2c2d,Qh4h,50,49,1
2c2d,Qh4c,53,46,1
2c2d,Qh3s,53,45,2
2c2d,Qh3d,53,46,1
2c2d,Qh3h,50,49,1
2c2d,Qh3c,53,46,1
2c2d,Qh2s,66,32,2
2c2d,Qh2h,62,36,2
2c2d,QdQc,17,82,1
2c2d,QdQh,18,82,0
2c2d,QdQs,18,82,0
2c2d,QdJc,49,50,1
2c2d,QdJh,49,50,1
2c2d,QdJd,47,52,1
2c2d,QdJs,49,50,1
2c2d,QdTc,49,50,1
2c2d,QdTh,49,50,1
2c2d,QdTd,47,52,1
2c2d,QdTs,49,50,1
2c2d,Qd9s,50,49,1
2c2d,Qd9c,50,49,1
2c2d,Qd9h,50,49,1
2c2d,Qd9d,48,51,1
2c2d,Qd8s,51,48,1
2c2d,Qd8d,49,50,1
2c2d,Qd8h,51,48,1
2c2d,Qd8c,51,48,1
2c2d,Qd7s,52,47,1
2c2d,Qd7d,49,49,2
2c2d,Qd7h,52,47,1
2c2d,Qd7c,51,48,1
2c2d,Qd6s,52,47,1
2c2d,Qd6d,49,50,1
